,0
0,80161826
1,80176872
2,80177684
3,81174992
4,16914787
5,70019012
6,70044903
7,70217908
8,70087537
9,879522
10,981269
11,18170356
12,17687517
13,60025061
14,80029622
15,70244568
16,80233218
17,81272953
18,81260165
